번호,제목,게시 날짜,URL
11,개인정보 수집 관련 안내,2025/04/28,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDg4JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
12,2026-2027년도 풀브라이트 미국 대학 한국어 보조강사 프로그램 선발 안내,2025/04/14,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDUyJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
13,2026-2027년도 풀브라이트 미국 연구비 지원 포스트닥 장학 프로그램 선발 안내,2025/03/21,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4MzkyJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
14,2025-2026학년도 경북대학교 해외 파견 교환/복수학위 프로그램 선발 일정,2024/11/26,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4MTE4JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
15,[필독] 국제처 찾아오는 법(첨성인미래관 2층),2020/08/28,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE2NTc4JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
16,2025년 화성시인재육성재단 「해외유학 장학금」안내 (~5/21),2025/05/13,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTE2JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
17,2026년도 일본 정부(문부과학성) 장학금 연구유학생 및 일한공동고등교육 유학생 ..,2025/05/13,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTE1JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE3JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
18,2025학년도 상반기 KNU 글로벌 세미나 (5월) 안내,2025/05/09,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTA1JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE2JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
19,[대학원생 국제화 프로그램 온라인 설명회] 안내,2025/04/25,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDgwJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE1JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
20,2025-2026 이탈리아 정부초청 장학생 선발 안내(~5/16),2025/04/25,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDc5JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE0JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
21,2025년 파란사다리 사업 파견 지원자 모집(대구가톨릭대학교)(~5/2),2025/04/25,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDc4JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDEzJnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
22,2025년 파란사다리 사업 파견 지원자 모집(대구보건대학교)(~4/30),2025/04/25,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDc2JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDEyJnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
23,2025년 상반기 교환학생/해외명문대 멘토링 프로그램 안내(4.25),2025/04/21,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDcyJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDExJnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
24,"국비유학생 선발·파견, 한미대학생연수(WEST) 설명회 안내(4/29)",2025/04/17,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDcwJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDEwJnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
25,2025년 제1기 국제협력세미나 안내(4/28),2025/04/17,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NDY5JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDA5JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0mc2VjcmV0X21vZGU9MA==
